z_score,probability,probability_2
2.26,0.006526006,0.011553279
2.27,0.006412311,0.01136957
2.28,0.006300426,0.011188454
2.29,0.006190327,0.011009896
2.3,0.006081989,0.010833866
2.31,0.005975385,0.010660335
2.32,0.005870492,0.010489275
2.33,0.005767286,0.010320657
2.34,0.005665741,0.010154451
2.35,0.005565835,0.009990631
2.36,0.005467543,0.009829172
2.37,0.005370843,0.009670042
2.38,0.005275711,0.009513209
2.39,0.005182125,0.009358646
2.4,0.005090061,0.009206327
2.41,0.004999499,0.009056223
2.42,0.004910416,0.008908309
2.43,0.004822791,0.008762557
2.44,0.004736601,0.008618942
2.45,0.004651827,0.008477441
2.46,0.004568447,0.008338024
2.47,0.00448644,0.008200663
2.48,0.004405787,0.008065332
2.49,0.004326467,0.007932006
2.5,0.00424846,0.007800661
2.51,0.004171747,0.007671271
2.52,0.004096309,0.007543813
2.53,0.004022127,0.007418263
2.54,0.003949181,0.007294597
2.55,0.003877453,0.007172789
2.56,0.003806925,0.007052815
2.57,0.003737578,0.00693465
2.58,0.003669395,0.006818272
2.59,0.003602359,0.006703658
2.6,0.003536451,0.006590784
2.61,0.003471655,0.006479629
2.62,0.003407953,0.006370172
2.63,0.003345329,0.00626239
2.64,0.003283767,0.006156259
2.65,0.003223249,0.006051756
2.66,0.003163761,0.00594886
2.67,0.003105285,0.005847549
2.68,0.003047807,0.005747803
2.69,0.002991311,0.0056496
2.7,0.002935782,0.005552921
2.71,0.002881204,0.005457745
2.72,0.002827564,0.005364052
2.73,0.002774846,0.005271823
2.74,0.002723035,0.00518104
2.75,0.002672119,0.005091679
2.76,0.002622081,0.00500372
2.77,0.00257291,0.004917145
2.78,0.002524591,0.004831934
2.79,0.00247711,0.00474807
2.8,0.002430455,0.004665533
2.81,0.002384612,0.004584305
2.82,0.002339568,0.004504368
2.83,0.002295311,0.004425704
2.84,0.002251828,0.004348298
2.85,0.002209107,0.00427213
2.86,0.002167135,0.004197182
2.87,0.0021259,0.004123437
2.88,0.002085392,0.004050877
2.89,0.002045597,0.003979486
2.9,0.002006504,0.003909246
2.91,0.001968103,0.003840143
2.92,0.001930381,0.00377216
2.93,0.001893329,0.00370528
2.94,0.001856934,0.003639489
2.95,0.001821186,0.00357477
2.96,0.001786075,0.00351111
2.97,0.00175159,0.003448491
2.98,0.001717721,0.003386897
2.99,0.001684458,0.003326314
3,0.001651791,0.003266728
3.01,0.001619709,0.003208123
3.02,0.001588205,0.003150486
3.03,0.001557267,0.003093802
3.04,0.001526886,0.003038057
3.05,0.001497054,0.002983238
3.06,0.00146776,0.002929331
3.07,0.001438997,0.002876323
3.08,0.001410755,0.0028242
3.09,0.001383026,0.002772947
3.1,0.0013558,0.002722553
3.11,0.00132907,0.002673004
3.12,0.001302827,0.002624288
3.13,0.001277063,0.002576392
3.14,0.00125177,0.002529304
3.15,0.00122694,0.002483011
3.16,0.001202565,0.002437503
3.17,0.001178637,0.002392767
3.18,0.00115515,0.00234879
3.19,0.001132094,0.002305562
